,job_id,benefits,bid,campaign_budget,campaign_id,city_name,company_logo,company_name,description,feed_id,lat,lon,major_category,minor_category,pay_currentcy,pay_from,pay_option,pay_to,pay_type,postal_code,requirements,state,status,title,work_schedule
0,769,"['Health insurance', 'Paid time off (PTO) such as sick day and vacation days']",0,,12,Elmhurst,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,Description,,40.7389,-73.8786,Education / Higher Education,Enrollment / General,,2000,0,,1,11373,"['aa', 'Sleep']",New York,2,Job 1514,Full Time
1,1863,['Employee assistance programs(mental and emotional wellbing)'],0,,69,Bell Gardens,,Gotoro 10052 ,create bt lta 725 512,,33.9707,-118.171,Construction / Facilities,Foreman,,12,2,,1,90201,['C#'],California,1,create bt lta 725 512,FULL_TIME
2,1199,['Retirement benefit or accounts'],0,,1,Forest Hills,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,create job bt lta 720 348,,40.7209,-73.8461,Construction / Facilities,Line Worker,,12344,0,,1,11375,"['C#', 'Sleep']",New York,1,create job bt lta 720 350,Full Time
3,114,[],0,,1,Carrollton,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,"Do you have 1-3 years of sales experience? Are you
            relentless at closing the deal? Are you ready for an exciting and
            high-speed career in sales? If so, we want to hear from you! [...]
            We provide competitive compensation, including stock options and a full
            benefit plan. As a fast-growing business, we offer excellent opportunities
            for exciting and challenging work. As our company continues to grow, you
            can expect unlimited career advancement! ",,33.0046,-96.8971,Capital Markets,Trader,,50,1,,1,75007,"['Javascript', 'C#', 'Hazmat Endorsement', 'Hazmat Endorsement', 'Hazmat Endorsement']",Texas,2,Sales Executive,
4,660,"['Health insurance', 'Paid time off (PTO) such as sick day and vacation days']",0,,48,Freehold,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_33_1658591981306.jpg,managedclient23,letheanh test question desc,,40.2254,-74.2854,Construction / Facilities,Building Inspection,,12345,0,,1,7728,"['mySql', 'Sleep']",New Jersey,1,letheanh test question,Full Time
5,1193,['Retirement benefit or accounts'],0,,1,Elmhurst,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,create job bt lta 720 348,,40.7389,-73.8786,Construction / Facilities,Line Worker,,12344,0,,1,11373,"['C#', 'Sleep']",New York,1,create job bt lta 720 350,Full Time
6,53,['Paid time off (PTO) such as sick day and vacation days'],0,,1,League City,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,123123,,29.5021,-95.0865,Capital Markets,Trader,,,,,,77573,['Javascript'],Texas,2,123,Full Time
7,987,"['Paid time off (PTO) such as sick day and vacation days', 'Flexible and remote working options', 'Employee assistance programs(mental and emotional wellbing)']",0,,127,Frisco,,FPT,aaa,,33.152,-96.8604,Construction / Facilities,Demolitions,,1300,0,,1,75034,"['Javascript', 'mySql', 'aa']",Texas,1,FE Con meo,Full Time
8,1940,"['Flexible and remote working options', 'Retirement benefit or accounts']",0,,1,Pico Rivera,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,dessc,,33.9694,-118.098,Capital Markets,Trader,,600,0,,1,90662,"['Php', 'bb']",California,1,crypto digger,FULL_TIME
9,878,['Life insurance'],0,,12,Clayton,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,Description,,37.8902,-121.878,Construction / Facilities,Line Worker,,2000,0,,1,94517,['C#'],California,2,Job1341,Part Time
10,110,['Flexible and remote working options'],0,,4,Woodstock,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,Desc,,34.1188,-84.4555,Capital Markets,Trader,,,,,,30188,['Javascript'],Georgia,1,Job1,Contract
11,91,"['Paid time off (PTO) such as sick day and vacation days', 'Life insurance']",0,,5,Brooklyn,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,123,,40.6221,-73.9651,Capital Markets,Trader,,,,,,11230,"['Javascript', 'C#']",New York,1,123,Part Time
12,128,['Health insurance'],0,,10,Los Angeles,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,Desc,,34.0245,-118.156,Capital Markets,Trader,,,,,,90022,['Javascript'],California,1,Job 132,Full Time
